Date,Home,home_goal_count,Away,away_goal_count,Referee,Result
12/13/2020,Southampton,3,Sheffield United,0,A Madley, H 
12/13/2020,Crystal Palace,1,Tottenham,1,K Friend, D 
12/13/2020,Fulham,1,Liverpool,1,A Marriner, D 
12/13/2020,Arsenal,0,Burnley,1,G Scott, A 
12/13/2020,Leicester,3,Brighton,0,M Atkinson, H 
12/12/2020,Wolves,0,Aston Villa,1,M Dean, A 
12/12/2020,Newcastle,2,West Brom,1,D England, H 
12/12/2020,Man United,0,Man City,0,C Kavanagh, D 
12/12/2020,Everton,1,Chelsea,0,J Moss, H 
12/11/2020,Leeds,1,West Ham,2,M Oliver, A 
12/7/2020,Brighton,1,Southampton,2,D Coote, A 
12/6/2020,West Brom,1,Crystal Palace,5,P Tierney, A 
12/6/2020,Sheffield United,1,Leicester,2,S Attwell, A 
12/6/2020,Tottenham,2,Arsenal,0,M Atkinson, H 
12/6/2020,Liverpool,4,Wolves,0,C Pawson, H 
12/5/2020,Burnley,1,Everton,1,A Taylor, D 
12/5/2020,Man City,2,Fulham,0,J Moss, H 
12/5/2020,West Ham,1,Man United,3,A Marriner, A 
12/5/2020,Chelsea,3,Leeds,1,K Friend, H 
11/30/2020,Leicester,1,Fulham,2,S Hooper, A 
11/30/2020,West Ham,2,Aston Villa,1,P Bankes, H 
11/29/2020,Southampton,2,Man United,3,J Moss, A 
11/29/2020,Chelsea,0,Tottenham,0,P Tierney, D 
11/29/2020,Arsenal,1,Wolves,2,M Oliver, A 
11/28/2020,Brighton,1,Liverpool,1,S Attwell, D 
11/28/2020,Man City,5,Burnley,0,L Mason, H 
11/28/2020,Everton,0,Leeds,1,C Kavanagh, A 
11/28/2020,West Brom,1,Sheffield United,0,M Dean, H 
11/27/2020,Crystal Palace,0,Newcastle,2,G Scott, A 
11/23/2020,Burnley,1,Crystal Palace,0,K Friend, H 
11/23/2020,Wolves,1,Southampton,1,A Marriner, D 
11/22/2020,Fulham,2,Everton,3,A Madley, A 
11/22/2020,Sheffield United,0,West Ham,1,M Atkinson, A 
11/22/2020,Leeds,0,Arsenal,0,A Taylor, D 
11/22/2020,Liverpool,3,Leicester,0,C Kavanagh, H 
11/21/2020,Newcastle,0,Chelsea,2,C Pawson, A 
11/21/2020,Aston Villa,1,Brighton,2,M Oliver, A 
11/21/2020,Tottenham,2,Man City,0,M Dean, H 
11/21/2020,Man United,1,West Brom,0,D Coote, H 
11/8/2020,West Brom,0,Tottenham,1,A Madley, A 
11/8/2020,Leicester,1,Wolves,0,A Taylor, H 
11/8/2020,Man City,1,Liverpool,1,C Pawson, D 
11/8/2020,Arsenal,0,Aston Villa,3,M Atkinson, A 
11/7/2020,Everton,1,Man United,3,P Tierney, A 
11/7/2020,Crystal Palace,4,Leeds,1,C Kavanagh, H 
11/7/2020,Chelsea,4,Sheffield United,1,J Moss, H 
11/7/2020,West Ham,1,Fulham,0,R Jones, H 
11/6/2020,Brighton,0,Burnley,0,M Dean, D 
11/6/2020,Southampton,2,Newcastle,0,P Bankes, H 
11/2/2020,Fulham,2,West Brom,0,S Hooper, H 
11/2/2020,Leeds,1,Leicester,4,A Marriner, A 
11/1/2020,Aston Villa,3,Southampton,4,D England, A 
11/1/2020,Newcastle,2,Everton,1,S Attwell, H 
11/1/2020,Man United,0,Arsenal,1,M Dean, A 
11/1/2020,Tottenham,2,Brighton,1,G Scott, H 
10/31/2020,Sheffield United,0,Man City,1,M Oliver, A 
10/31/2020,Burnley,0,Chelsea,3,D Coote, A 
10/31/2020,Liverpool,2,West Ham,1,K Friend, H 
10/30/2020,Wolves,2,Crystal Palace,0,M Atkinson, H 
10/26/2020,Brighton,1,West Brom,1,J Moss, D 
10/26/2020,Burnley,0,Tottenham,1,M Oliver, A 
10/25/2020,Southampton,2,Everton,0,K Friend, H 
10/25/2020,Wolves,1,Newcastle,1,L Mason, D 
10/25/2020,Arsenal,0,Leicester,1,C Pawson, A 
10/24/2020,West Ham,1,Man City,1,A Taylor, D 
10/24/2020,Fulham,1,Crystal Palace,2,G Scott, A 
10/24/2020,Man United,0,Chelsea,0,M Atkinson, D 
10/24/2020,Liverpool,2,Sheffield United,1,M Dean, H 
10/23/2020,Aston Villa,0,Leeds,3,P Tierney, A 
10/19/2020,West Brom,0,Burnley,0,A Taylor, D 
10/19/2020,Leeds,0,Wolves,1,D Coote, A 
10/18/2020,Sheffield United,1,Fulham,1,A Marriner, D 
10/18/2020,Crystal Palace,1,Brighton,1,S Attwell, D 
10/18/2020,Tottenham,3,West Ham,3,P Tierney, D 
10/18/2020,Leicester,0,Aston Villa,1,J Moss, A 
10/17/2020,Everton,2,Liverpool,2,M Oliver, D 
10/17/2020,Chelsea,3,Southampton,3,P Bankes, D 
10/17/2020,Man City,1,Arsenal,0,C Kavanagh, H 
10/17/2020,Newcastle,1,Man United,4,C Pawson, A 
10/4/2020,Leicester,0,West Ham,3,A Madley, A 
10/4/2020,Southampton,2,West Brom,0,C Kavanagh, H 
10/4/2020,Arsenal,2,Sheffield United,1,L Mason, H 
10/4/2020,Wolves,1,Fulham,0,D England, H 
10/4/2020,Man United,1,Tottenham,6,A Taylor, A 
10/4/2020,Aston Villa,7,Liverpool,2,M Atkinson, H 
10/3/2020,Chelsea,4,Crystal Palace,0,M Oliver, H 
10/3/2020,Everton,4,Brighton,2,S Hooper, H 
10/3/2020,Leeds,1,Man City,1,M Dean, D 
10/3/2020,Newcastle,3,Burnley,1,D Coote, H 
9/28/2020,Fulham,0,Aston Villa,3,S Attwell, A 
9/28/2020,Liverpool,3,Arsenal,1,C Pawson, H 
